TestFile,Epoch,Answer,Prediction
1_mp3,910,35,30
1_mp3,910,20,18
1_mp3,910,35,21
1_mp3,910,86,77
1_mp3,910,13,49
1_mp3,910,92,83
1_mp3,910,52,55
1_mp3,910,54,62
1_mp3,910,82,93
1_mp3,910,57,55
1_mp3,920,60,55
1_mp3,920,41,34
1_mp3,920,16,67
1_mp3,920,89,56
1_mp3,920,88,57
1_mp3,920,38,20
1_mp3,920,56,38
1_mp3,920,78,77
1_mp3,920,17,38
1_mp3,920,72,56
1_mp3,930,50,54
1_mp3,930,6,56
1_mp3,930,56,45
1_mp3,930,25,31
1_mp3,930,73,41
1_mp3,930,54,43
1_mp3,930,61,37
1_mp3,930,77,34
1_mp3,930,6,43
1_mp3,930,72,61
1_mp3,940,44,38
1_mp3,940,17,35
1_mp3,940,37,34
1_mp3,940,33,30
1_mp3,940,62,34
1_mp3,940,53,47
1_mp3,940,53,75
1_mp3,940,43,53
1_mp3,940,6,29
1_mp3,940,81,78
1_mp3,950,42,44
1_mp3,950,45,32
1_mp3,950,23,60
1_mp3,950,23,28
1_mp3,950,41,41
1_mp3,950,82,93
1_mp3,950,57,58
1_mp3,950,56,66
1_mp3,950,77,71
1_mp3,950,62,31
1_mp3,960,8,39
1_mp3,960,41,34
1_mp3,960,49,45
1_mp3,960,62,41
1_mp3,960,26,63
1_mp3,960,69,52
1_mp3,960,88,41
1_mp3,960,63,49
1_mp3,960,40,57
1_mp3,960,94,62
1_mp3,970,24,10
1_mp3,970,33,45
1_mp3,970,67,70
1_mp3,970,74,46
1_mp3,970,29,33
1_mp3,970,91,43
1_mp3,970,59,66
1_mp3,970,12,30
1_mp3,970,65,49
1_mp3,970,59,75
1_mp3,980,50,60
1_mp3,980,24,22
1_mp3,980,29,20
1_mp3,980,61,63
1_mp3,980,59,37
1_mp3,980,72,44
1_mp3,980,33,30
1_mp3,980,53,51
1_mp3,980,20,59
1_mp3,980,66,74
1_mp3,990,89,53
1_mp3,990,5,38
1_mp3,990,98,88
1_mp3,990,25,31
1_mp3,990,75,54
1_mp3,990,93,48
1_mp3,990,20,48
1_mp3,990,60,61
1_mp3,990,45,38
1_mp3,990,61,57
1_mp3,1000,29,17
1_mp3,1000,41,42
1_mp3,1000,86,30
1_mp3,1000,31,29
1_mp3,1000,17,55
1_mp3,1000,93,64
1_mp3,1000,7,55
1_mp3,1000,61,34
1_mp3,1000,22,9
1_mp3,1000,78,52
2_mp3,10,62,2
2_mp3,10,89,0
2_mp3,10,74,1
2_mp3,10,36,6
2_mp3,10,96,0
2_mp3,10,32,10
2_mp3,10,62,0
2_mp3,10,90,1
2_mp3,10,59,1
2_mp3,10,37,6
2_mp3,20,61,39
2_mp3,20,46,65
2_mp3,20,59,100
2_mp3,20,30,100
2_mp3,20,55,43
2_mp3,20,25,41
2_mp3,20,68,23
2_mp3,20,5,55
2_mp3,20,57,100
2_mp3,20,53,63
2_mp3,30,74,11
2_mp3,30,29,63
2_mp3,30,2,6
2_mp3,30,32,72
2_mp3,30,52,47
2_mp3,30,53,62
2_mp3,30,6,38
2_mp3,30,76,19
2_mp3,30,15,9
2_mp3,30,20,6
2_mp3,40,25,55
2_mp3,40,40,78
2_mp3,40,99,21
2_mp3,40,90,46
2_mp3,40,63,36
2_mp3,40,80,27
2_mp3,40,42,100
2_mp3,40,13,21
2_mp3,40,23,65
2_mp3,40,93,15
2_mp3,50,77,14
2_mp3,50,58,37
2_mp3,50,40,34
2_mp3,50,59,58
2_mp3,50,30,100
2_mp3,50,67,28
2_mp3,50,25,37
2_mp3,50,62,13
2_mp3,50,42,52
2_mp3,50,78,47
2_mp3,60,77,47
2_mp3,60,35,38
2_mp3,60,90,34
2_mp3,60,62,10
2_mp3,60,46,86
2_mp3,60,8,72
2_mp3,60,10,41
2_mp3,60,33,55
2_mp3,60,17,100
2_mp3,60,31,82
2_mp3,70,84,26
2_mp3,70,55,33
2_mp3,70,55,19
2_mp3,70,8,5
2_mp3,70,43,26
2_mp3,70,32,36
2_mp3,70,42,36
2_mp3,70,98,26
2_mp3,70,55,42
2_mp3,70,29,6
2_mp3,80,69,100
2_mp3,80,24,83
2_mp3,80,34,41
2_mp3,80,41,40
2_mp3,80,38,69
2_mp3,80,23,9
2_mp3,80,26,67
2_mp3,80,19,14
2_mp3,80,42,31
2_mp3,80,25,9
2_mp3,90,28,25
2_mp3,90,48,15
2_mp3,90,62,14
2_mp3,90,71,40
2_mp3,90,85,47
2_mp3,90,6,78
2_mp3,90,65,28
2_mp3,90,68,18
2_mp3,90,17,10
2_mp3,90,36,34
2_mp3,100,15,67
2_mp3,100,72,46
2_mp3,100,68,68
2_mp3,100,56,10
2_mp3,100,70,60
2_mp3,100,53,11
2_mp3,100,74,9
2_mp3,100,51,50
2_mp3,100,9,7
2_mp3,100,69,65
2_mp3,110,46,28
2_mp3,110,8,18
2_mp3,110,69,17
2_mp3,110,71,36
2_mp3,110,31,30
2_mp3,110,79,38
2_mp3,110,39,90
2_mp3,110,41,23
2_mp3,110,21,31
2_mp3,110,63,22
2_mp3,120,68,30
2_mp3,120,26,36
2_mp3,120,59,17
2_mp3,120,14,14
2_mp3,120,95,45
2_mp3,120,61,28
2_mp3,120,64,34
2_mp3,120,99,38
2_mp3,120,99,33
2_mp3,120,42,56
2_mp3,130,71,48
2_mp3,130,43,100
2_mp3,130,72,56
2_mp3,130,31,23
2_mp3,130,25,46
2_mp3,130,85,63
2_mp3,130,35,22
